"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-08",,"47","37"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-09",,"46","32"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-10",,"45","31"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-11",,"45","38"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-12",,"43","37"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-13",,"51","38"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-14",,"45","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-15",,"48","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-16",,"54","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-17",,"54","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-18",,"53","35"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-19",,"47","32"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-20",,"49","38"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-21",,"52","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-22",,"49","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-23",,"55","43"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-24",,"54","43"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-25",,"61","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-26",,"52","35"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-27",,"49","30"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-02-28",,"57","28"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-01",,"55","43"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-02",,"54","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-03",,"62","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-04",,"57","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-05",,"51","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-06",,"45","35"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-07",,"47","28"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-08",,"51","38"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-09",,"51","36"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-10",,"41","33"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-11",,"42","33"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-12",,"48","36"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-13",,"47","38"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-14",,"52","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-15",,"52","42"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-16",,"55","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-17",,"56","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-18",,"50","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-19",,"55","38"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-20",,"52","36"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-21",,"52","32"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-22",,"49","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-23",,"47","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-24",,"53","37"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-25",,"48","34"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-26",,"52","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-27",,"50","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-28",,"50","36"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-29",,"61","30"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-30",,"51","43"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-03-31",,"59","45"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-01",,"54","45"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-02",,"51","37"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-03",,"53","35"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-04",,"63","31"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-05",,"58","43"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-06",,"56","37"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-07",,"57","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-08",,"45","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-09",,"56","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-10",,"60","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-11",,"58","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-12",,"57","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-13",,"54","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-14",,"52","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-15",,"61","50"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-16",,"59","43"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-17",,"57","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-18",,"67","35"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-19",,"77","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-20",,"64","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-21",,"55","31"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-22",,"57","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-23",,"56","36"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-24",,"65","32"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-25",,"55","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-26",,"48","35"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-27",,"51","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-28",,"61","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-29",,"67","37"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-04-30",,"62","35"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-01",,"52","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-02",,"55","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-03",,"60","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-04",,"52","45"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-05",,"51","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-06",,"56","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-07",,"59","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-08",,"59","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-09",,"60","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-10",,"72","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-11",,"80","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-12",,"71","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-13",,"68","45"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-14",,"66","42"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-15",,"69","38"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-16",,"70","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-17",,"60","43"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-18",,"60","41"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-19",,"66","48"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-20",,"71","45"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-21",,"69","45"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-22",,"62","46"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-23",,"67","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-24",,"78","43"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-25",,"85","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-26",,"77","46"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-27",,"63","46"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-28",,"65","40"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-29",,"67","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-30",,"72","43"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-05-31",,"78","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-01",,"76","51"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-02",,"82","45"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-03",,"88","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-04",,"78","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-05",,"64","46"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-06",,"62","46"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-07",,"54","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-08",,"69","51"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-09",,"76","48"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-10",,"76","55"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-11",,"67","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-12",,"57","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-13",,"62","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-14",,"59","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-15",,"70","55"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-16",,"78","55"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-17",,"64","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-18",,"74","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-19",,"80","55"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-20",,"73","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-21",,"67","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-22",,"67","50"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-23",,"60","50"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-24",,"65","48"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-25",,"68","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-26",,"77","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-27",,"77","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-28",,"85","59"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-29",,"83","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-06-30",,"82","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-01",,"80","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-02",,"83","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-03",,"83","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-04",,"80","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-05",,"81","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-06",,"75","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-07",,"75","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-08",,"77","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-09",,"71","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-10",,"66","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-11",,"75","48"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-12",,"90","52"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-13",,"79","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-14",,"77","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-15",,"70","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-16",,"79","52"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-17",,"85","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-18",,"81","55"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-19",,"77","58"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-20",,"83","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-21",,"90","55"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-22",,"85","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-23",,"86","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-24",,"85","60"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-25",,"84","59"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-26",,"81","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-27",,"69","58"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-28",,"67","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-29",,"71","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-30",,"79","52"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-07-31",,"85","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-01",,"91","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-02",,"75","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-03",,"71","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-04",,"74","51"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-05",,"70","48"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-06",,"77","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-07",,"75","59"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-08",,"81","55"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-09",,"80","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-10",,"82","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-11",,"81","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-12",,"82","50"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-13",,"78","52"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-14",,"85","61"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-15",,"83","65"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-16",,"90","60"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-17",,"95","58"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-18",,"90","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-19",,"93","58"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-20",,"93","60"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-21",,"92","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-22",,"74","61"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-23",,"67","60"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-24",,"74","58"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-25",,"83","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-26",,"88","52"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-27",,"77","60"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-28",,"83","51"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-29",,"81","58"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-30",,"81","55"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-08-31",,"90","52"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-01",,"90","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-02",,"88","62"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-03",,"76","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-04",,"72","55"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-05",,"77","50"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-06",,"78","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-07",,"82","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-08",,"83","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-09",,"76","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-10",,"72","51"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-11",,"87","51"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-12",,"82","48"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-13",,"61","52"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-14",,"73","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-15",,"73","46"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-16",,"75","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-17",,"80","48"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-18",,"72","51"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-19",,"64","45"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-20",,"77","46"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-21",,"91","45"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-22",,"81","48"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-23",,"79","47"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-24",,"63","59"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-25",,"64","56"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-26",,"64","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-27",,"64","42"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-28",,"61","38"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-29",,"63","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-09-30",,"63","36"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-01",,"64","33"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-02",,"54","37"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-03",,"56","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-04",,"62","49"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-05",,"58","51"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-06",,"60","51"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-07",,"72","55"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-08",,"62","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-09",,"61","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-10",,"63","57"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-11",,"68","52"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-12",,"71","53"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-13",,"67","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-14",,"57","43"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-15",,"55","39"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-16",,"51","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-17",,"57","50"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-18",,"62","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-19",,"61","54"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-20",,"60","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-21",,"60","44"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-22",,"52","38"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1950-10-23",,"57","41"
